Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
1,54,-0.18,C  - CT   | n-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,54,C,primary methyl carbon (sp3) in normal alkanes; neighbor carbon is CH2 or CH3 (not tertiary/quaternary),alkane (aliphatic sp3),sp3,CCCC,[CX4H3]-[CX4],"[CH3X4]-[CX4H2,CX4H3]","Methyl carbon at the end of a linear/normal alkyl chain (n-CH3), attached to an sp3 carbon that bears at least one hydrogen (CH2 or CH3).",20,group_smarts,"[(37, 34)]"
2,55,-0.18,C  - CT   | iso-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,55,C,methyl carbon (sp3) attached to a tertiary carbon (iso-alkyl),"alkane (aliphatic sp3, iso-alkyl)",sp3,CC(C)C,[CX4H3]-[CX4],[CH3X4]-[CHX4],Iso-CH3: methyl group bound to a tertiary sp3 carbon (neighbor has one hydrogen).,15,group_smarts,"[(37, 34)]"
3,56,-0.18,C  - CT   | neo-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,56,C,methyl carbon (sp3) attached to a quaternary carbon (neo-alkyl),"alkane (aliphatic sp3, neo-alkyl)",sp3,CC(C)(C)C,[CX4H3]-[CX4],[CH3X4]-[CX4H0],Neo-CH3: methyl group bound to a quaternary sp3 carbon (neighbor has no hydrogens).,15,group_smarts,"[(37, 34)]"
4,57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa.lt,C,6,57,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane (aliphatic sp3),sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],CH2 in alkanes with two sp3 carbon neighbors (internal methylene).,10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
7,61,-0.065,"C  - CT   | all-atom C: CH3, toluene",12.011,oplsaa.lt,C,6,61,C,benzylic methyl carbon (sp3) attached directly to an aromatic ring (toluene-type),benzylic alkyl,sp3,c1ccccc1C,[CX4]-[cX3],[CH3X4]-[cX3],CH3 bonded directly to an aromatic sp2 carbon (toluene methyl).,15,group_smarts,"[(16, 9)]"
8,62,-0.005,"C  - CT   | all-atom C: CH2, ethyl benzene",12.011,oplsaa.lt,C,6,62,C,benzylic methylene carbon (sp3) alpha to an aromatic ring (ethylbenzene-type),benzylic alkyl,sp3,c1ccccc1CC,[CX4]-[cX3],[CH2X4](-[cX3])[CX4],CH2 directly attached to an aromatic sp2 carbon and to one sp3 carbon (benzylic CH2 of ethylbenzene).,15,group_smarts,"[(16, 9)]"
9,63,0.055,"C  - CT   | all-atom C: CH, i-propyl benzene",12.011,oplsaa.lt,C,6,63,C,benzylic tertiary methine carbon (sp3) attached to an aromatic ring and two alkyl groups (cumyl-type),benzylic alkyl,sp3,c1ccccc1C(C)C,[CX4]-[cX3],[CHX4](-[cX3])(-[CX4])[CX4],CH (sp3) directly bonded to an aromatic carbon and two additional sp3 carbons (i-propyl benzene benzylic center).,15,group_smarts,"[(16, 9)]"
10,64,0.115,"C  - CT   | all-atom C: C, t-butyl benzene",12.011,oplsaa.lt,C,6,64,C,benzylic quaternary carbon (sp3) attached to an aromatic ring and three alkyl groups (tert-butyl benzene-type),benzylic alkyl,sp3,c1ccccc1C(C)(C)C,[CX4]-[cX3],[CX4H0](-[cX3])(-[CX4])(-[CX4])[CX4],"C (sp3, no hydrogens) bonded directly to an aromatic carbon and to three sp3 carbons (t-butyl benzene benzylic center).",15,group_smarts,"[(16, 9)]"
12,67,0.0,C  - C3   | CH3 (C1) ETHANE,12.011,oplsaa.lt,C,6,67,C,methyl carbon (sp3) in ethane; attached to another methyl,alkane,sp3,CC,[CH3X4]-[CX4],[CH3X4]-[CH3X4],CH3 (C1) of ethane; each methyl is attached to another methyl carbon.,10,group_smarts,"[(37, 34)]"
