Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
1,54,-0.18,C  - CT   | n-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,54,C,primary methyl carbon (sp3) in normal alkanes; neighbor carbon is CH2 or CH3 (not tertiary/quaternary),alkane (aliphatic sp3),sp3,CCCC,[CX4H3]-[CX4],"[CH3X4]-[CX4H2,CX4H3]","Methyl carbon at the end of a linear/normal alkyl chain (n-CH3), attached to an sp3 carbon that bears at least one hydrogen (CH2 or CH3).",20,group_smarts,"[(37, 34)]"
2,55,-0.18,C  - CT   | iso-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,55,C,methyl carbon (sp3) attached to a tertiary carbon (iso-alkyl),"alkane (aliphatic sp3, iso-alkyl)",sp3,CC(C)C,[CX4H3]-[CX4],[CH3X4]-[CHX4],Iso-CH3: methyl group bound to a tertiary sp3 carbon (neighbor has one hydrogen).,15,group_smarts,"[(37, 34)]"
3,56,-0.18,C  - CT   | neo-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6,56,C,methyl carbon (sp3) attached to a quaternary carbon (neo-alkyl),"alkane (aliphatic sp3, neo-alkyl)",sp3,CC(C)(C)C,[CX4H3]-[CX4],[CH3X4]-[CX4H0],Neo-CH3: methyl group bound to a quaternary sp3 carbon (neighbor has no hydrogens).,15,group_smarts,"[(37, 34)]"
4,57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa.lt,C,6,57,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane (aliphatic sp3),sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],CH2 in alkanes with two sp3 carbon neighbors (internal methylene).,10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
12,67,0.0,C  - C3   | CH3 (C1) ETHANE,12.011,oplsaa.lt,C,6,67,C,methyl carbon (sp3) in ethane; attached to another methyl,alkane,sp3,CC,[CH3X4]-[CX4],[CH3X4]-[CH3X4],CH3 (C1) of ethane; each methyl is attached to another methyl carbon.,10,group_smarts,"[(37, 34)]"
13,68,0.0,C  - C3   | CH3 (C2) N-ALKANES,12.011,oplsaa.lt,C,6,68,C,terminal methyl carbon (sp3) in n-alkanes; attached to a methylene,alkane,sp3,CCC,[CH3X4]-[CX4],[CH3X4]-[CH2X4],CH3 (C2) of n-alkanes; methyl attached to a CH2 group (chain length ≥3).,10,group_smarts,"[(37, 34)]"
14,69,0.0,C  - C3   | CH3 (C3) ISOBUTANE,12.011,oplsaa.lt,C,6,69,C,methyl carbon (sp3) attached to a tertiary carbon (isobutane-type),alkane,sp3,CC(C)C,[CH3X4]-[CX4],[CH3X4]-[CHX4],CH3 (C3) of isobutane; methyl bound to a tertiary CH center.,10,group_smarts,"[(37, 34)]"
15,70,0.0,C  - C3   | CH3 (C4) NEOPENTANE,12.011,oplsaa.lt,C,6,70,C,methyl carbon (sp3) attached to a quaternary carbon (neopentane-type),alkane,sp3,CC(C)(C)C,[CH3X4]-[CX4],[CH3X4]-[CX4H0],CH3 (C4) of neopentane; methyl bound to a quaternary carbon.,10,group_smarts,"[(37, 34)]"
16,71,0.0,C  - C2   | CH2 (SP3) ALKANES,12.011,oplsaa.lt,C,6,71,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane,sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],"CH2 (sp3) in alkanes, bonded to two sp3 carbons (internal methylene).",10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
19,747,-0.02,C  - CT   | CH3 in neutral MeGDN,12.011,oplsaa.lt,C,6,747,C,sp3 methyl carbon in neutral MeGDN (general aliphatic CH3 attached to sp3 carbon),alkyl (methyl in nitrate-containing environment),sp3,CCO,[CH3X4]-[#6X4],[CH3X4]-[#6X4],Aliphatic methyl carbon (sp3) as used for the CH3 in neutral MeGDN; treated here as a generic methyl bound to an sp3 carbon due to limited structural context.,70,group_smarts,"[(37, 34)]"
