Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6
54,-0.18,C  - CT   | n-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6
55,-0.18,C  - CT   | iso-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6
56,-0.18,C  - CT   | neo-CH3 all-atom C: alkanes,12.011,oplsaa.lt,C,6
57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa.lt,C,6
58,-0.06,C  - CT   | CH all-atom C: alkanes,12.011,oplsaa.lt,C,6
59,0.0,C  - CT   | C all-atom C: alkanes,12.011,oplsaa.lt,C,6
61,-0.065,"C  - CT   | all-atom C: CH3, toluene",12.011,oplsaa.lt,C,6
62,-0.005,"C  - CT   | all-atom C: CH2, ethyl benzene",12.011,oplsaa.lt,C,6
63,0.055,"C  - CT   | all-atom C: CH, i-propyl benzene",12.011,oplsaa.lt,C,6
64,0.115,"C  - CT   | all-atom C: C, t-butyl benzene",12.011,oplsaa.lt,C,6
66,0.0,"C  - C4   | CH4 66-77: JACS,106,6638 (1984)",12.011,oplsaa.lt,C,6
67,0.0,C  - C3   | CH3 (C1) ETHANE,12.011,oplsaa.lt,C,6
68,0.0,C  - C3   | CH3 (C2) N-ALKANES,12.011,oplsaa.lt,C,6
69,0.0,C  - C3   | CH3 (C3) ISOBUTANE,12.011,oplsaa.lt,C,6
70,0.0,C  - C3   | CH3 (C4) NEOPENTANE,12.011,oplsaa.lt,C,6
71,0.0,C  - C2   | CH2 (SP3) ALKANES,12.011,oplsaa.lt,C,6
72,0.0,C  - C9   | CH2 (SP2) 1-ALKENES,12.011,oplsaa.lt,C,6
73,0.0,C  - CH   | CH (SP3) ISOBUTANE,12.011,oplsaa.lt,C,6
74,0.0,C  - C8   | CH (SP2) 2-ALKENES,12.011,oplsaa.lt,C,6
75,0.0,C  - CD   | CH (AROM) BENZENOID united atom,12.011,oplsaa.lt,C,6
76,0.0,C  - CT   | C (SP3) NEOPENTANE,12.011,oplsaa.lt,C,6
77,0.0,C  - C7   | C (SP2) ISOBUTENE,12.011,oplsaa.lt,C,6
80,0.265,"C  - C3   | CH3 IN METHANOL """,12.011,oplsaa.lt,C,6
81,0.265,"C  - C2   | CH2 IN ETHANOL """,12.011,oplsaa.lt,C,6
88,0.18,"C  - C3   | CH3 IN CH3SH """,12.011,oplsaa.lt,C,6
89,0.18,"C  - C2   | CH2 IN CH3CH2SH """,12.011,oplsaa.lt,C,6
90,0.235,"C  - C3   | CH3 IN CH3SR """,12.011,oplsaa.lt,C,6
91,0.235,"C  - C2   | CH2 IN RCH2SR """,12.011,oplsaa.lt,C,6
92,0.3,"C  - C3   | CH3 IN CH3SSR """,12.011,oplsaa.lt,C,6
93,0.3,"C  - C2   | CH2 IN RCH2SSR """,12.011,oplsaa.lt,C,6
95,0.28,"C  - CZ   | C IN CH3CN """,12.011,oplsaa.lt,C,6
96,0.15,"C  - C3   | CH3 IN CH3CN united atom """,12.011,oplsaa.lt,C,6
106,0.265,C  - CH   | CH (SP3) ISOPROPANOL,12.011,oplsaa.lt,C,6
107,0.265,C  - CT   | C (SP3) T-BUTANOL,12.011,oplsaa.lt,C,6
109,0.25,"C  - C3   | ETHER CH3 (-O) """,12.011,oplsaa.lt,C,6
110,0.25,"C  - C2   | ETHER CH2 (-O) """,12.011,oplsaa.lt,C,6
118,0.5,C  - C2   | CH2 Methylenechloride C-Cl=1.772,12.011,oplsaa.lt,C,6
120,0.42,"C  - CH   | CH Chloroform JPC,94,1683 (1990)",12.011,oplsaa.lt,C,6
122,0.248,C  - CT   | C CCl4,12.011,oplsaa.lt,C,6
126,0.16,C  - C3   | DMSO,12.011,oplsaa.lt,C,6
131,0.5,"C  - C~   | C in C=O for UA formamide, DMF.",12.011,oplsaa.lt,C,6
132,0.285,C  - C3   | CH3 in HCON(CH3)2 DMF,12.011,oplsaa.lt,C,6
