Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
8,0.0,O  - O~   |,15.999,oplsaa.lt,O,8
78,-0.7,"O  - OH   | O ALCOHOLS JPC,90,1276 (1986)",15.999,oplsaa.lt,O,8
108,-0.5,"O  - OS   | ETHER O JCC,11,958 (1990) UA",15.999,oplsaa.lt,O,8
125,-0.459,O  - OY   | DMSO,15.999,oplsaa.lt,O,8
129,-0.5,O  - O~   | O in DMF - united atom,15.999,oplsaa.lt,O,8
154,-0.683,O  - OH   | all-atom O: mono alcohols,15.999,oplsaa.lt,O,8
160,-0.65,O  - OH   | all-atom O: mono tert. alcohols OPLS/2020,15.999,oplsaa.lt,O,8
167,-0.53,"O  - OH   | O phenol atom C, H",15.999,oplsaa.lt,O,8
169,-0.7,O  - OH   | O: diols,15.999,oplsaa.lt,O,8
171,-0.73,O  - OH   | O: triols,15.999,oplsaa.lt,O,8
177,-0.17,O  - OS   | diphenyl ether OPLS/2020,15.999,oplsaa.lt,O,8
179,-0.285,O  - OS   | O: anisole OPLS/2020,15.999,oplsaa.lt,O,8
180,-0.4,O  - OS   | O: dialkyl ether OPLS/2020,15.999,oplsaa.lt,O,8
186,-0.33,O  - OS   | O: acetal/hemiacetal ether O OPLS/2020,15.999,oplsaa.lt,O,8
187,-0.7,O  - OH   | O(H): hemiacetal,15.999,oplsaa.lt,O,8
236,-0.5,O  - O~   | O: C=O in amide. is neutral - use,15.999,oplsaa.lt,O,8
248,-0.39,O  - O~   | O in O=C(NH2)2 Urea Isr. J. Chem,15.999,oplsaa.lt,O,8
253,-0.42,O  - O~   | O in imide,15.999,oplsaa.lt,O,8
268,-0.53,O  - OH   | Oh in CCOOH R in RCOOH is,15.999,oplsaa.lt,O,8
269,-0.44,O  - O~   | Oc in CCOOH neutral; use 135-140,15.999,oplsaa.lt,O,8
272,-0.8,O  - O2   | O: O in COO- carboxylate,15.999,oplsaa.lt,O,8
