2025-10-21 14:44:34,822 - INFO - Loading input XYZ: 01_all_xtb_sampled/01_all_xtb_sampled_part_5.xyz
2025-10-21 14:44:34,881 - INFO - Loaded 142 frames
2025-10-21 14:44:34,882 - INFO - xTB method initialized: GFN2-xTB
2025-10-21 14:44:36,231 - INFO - Frame 0: energy = -6049.010013 eV, forces OK
2025-10-21 14:44:37,397 - INFO - Frame 1: energy = -6050.952048 eV, forces OK
2025-10-21 14:44:38,477 - INFO - Frame 2: energy = -6051.897002 eV, forces OK
2025-10-21 14:44:39,499 - INFO - Frame 3: energy = -6052.149198 eV, forces OK
2025-10-21 14:44:40,533 - INFO - Frame 4: energy = -6052.415307 eV, forces OK
2025-10-21 14:44:41,640 - INFO - Frame 5: energy = -6052.522753 eV, forces OK
2025-10-21 14:44:43,824 - INFO - Frame 6: energy = -6047.686497 eV, forces OK
2025-10-21 14:44:45,001 - INFO - Frame 7: energy = -6050.068597 eV, forces OK
2025-10-21 14:44:46,197 - INFO - Frame 8: energy = -6051.112296 eV, forces OK
2025-10-21 14:44:47,241 - INFO - Frame 9: energy = -6051.794157 eV, forces OK
2025-10-21 14:44:48,385 - INFO - Frame 10: energy = -6052.271322 eV, forces OK
2025-10-21 14:44:49,431 - INFO - Frame 11: energy = -6052.604936 eV, forces OK
2025-10-21 14:44:50,512 - INFO - Frame 12: energy = -6052.709400 eV, forces OK
2025-10-21 14:44:51,587 - INFO - Frame 13: energy = -6052.804814 eV, forces OK
2025-10-21 14:44:52,516 - INFO - Frame 14: energy = -6052.813206 eV, forces OK
2025-10-21 14:44:54,753 - INFO - Frame 15: energy = -6045.968692 eV, forces OK
2025-10-21 14:44:55,854 - INFO - Frame 16: energy = -6049.255973 eV, forces OK
2025-10-21 14:44:56,986 - INFO - Frame 17: energy = -6050.528369 eV, forces OK
2025-10-21 14:44:58,165 - INFO - Frame 18: energy = -6051.384509 eV, forces OK
2025-10-21 14:44:59,281 - INFO - Frame 19: energy = -6051.580339 eV, forces OK
2025-10-21 14:45:00,705 - INFO - Frame 20: energy = -6048.554692 eV, forces OK
2025-10-21 14:45:01,894 - INFO - Frame 21: energy = -6050.473179 eV, forces OK
2025-10-21 14:45:03,091 - INFO - Frame 22: energy = -6050.844028 eV, forces OK
2025-10-21 14:45:04,258 - INFO - Frame 23: energy = -6051.451220 eV, forces OK
2025-10-21 14:45:05,417 - INFO - Frame 24: energy = -6051.995478 eV, forces OK
2025-10-21 14:45:06,423 - INFO - Frame 25: energy = -6052.066531 eV, forces OK
2025-10-21 14:45:08,486 - INFO - Frame 26: energy = -6047.152400 eV, forces OK
2025-10-21 14:45:09,618 - INFO - Frame 27: energy = -6049.607326 eV, forces OK
2025-10-21 14:45:10,719 - INFO - Frame 28: energy = -6050.603666 eV, forces OK
2025-10-21 14:45:11,867 - INFO - Frame 29: energy = -6051.783980 eV, forces OK
