is_initial,epoch,timestamp,loss,rmse_e_mev_per_atom,rmse_f_mev_per_A,epoch_duration_sec,cumulative_sec
True,-1,2025-10-21 15:50:46.439,1.95287729,1356.9,385.12,0.0,0.0
False,0,2025-10-21 15:52:04.675,0.06700104,17.21,77.16,78.236,78.236
False,1,2025-10-21 15:53:10.347,0.03692116,29.51,58.21,65.672,143.90800000000002
False,2,2025-10-21 15:54:16.241,0.029929,6.37,51.91,65.894,209.80200000000002
False,3,2025-10-21 15:55:21.993,0.03154822,6.02,52.51,65.752,275.55400000000003
False,4,2025-10-21 15:56:27.960,0.0259765,13.43,47.53,65.967,341.521
False,5,2025-10-21 15:57:34.940,0.0202606,9.31,42.77,66.98,408.50100000000003
False,6,2025-10-21 15:58:41.647,0.02312962,5.33,45.11,66.707,475.208
False,7,2025-10-21 15:59:47.860,0.02051681,8.49,42.21,66.213,541.421
False,8,2025-10-21 16:00:53.977,0.01608917,6.8,37.46,66.117,607.538
False,9,2025-10-21 16:01:59.995,0.01560547,7.62,37.12,66.018,673.556
False,10,2025-10-21 16:03:05.864,0.01419874,4.86,35.47,65.869,739.4250000000001
False,11,2025-10-21 16:04:11.791,0.01443156,8.26,35.51,65.927,805.3520000000001
False,12,2025-10-21 16:05:17.611,0.01364317,4.54,34.15,65.82,871.172
False,13,2025-10-21 16:06:23.492,0.02095756,5.43,42.24,65.881,937.053
False,14,2025-10-21 16:07:29.223,0.01813,14.25,40.1,65.731,1002.784
False,15,2025-10-21 16:08:35.008,0.0200591,10.51,41.11,65.785,1068.569
False,16,2025-10-21 16:09:40.863,0.01219428,4.73,32.49,65.855,1134.424
False,17,2025-10-21 16:10:46.830,0.01167893,5.02,31.97,65.967,1200.391
False,18,2025-10-21 16:11:52.736,0.01149087,4.95,31.68,65.906,1266.297
False,19,2025-10-21 16:12:58.725,0.01486101,4.85,35.36,65.989,1332.286
False,20,2025-10-21 16:14:04.566,0.01102475,4.66,31.02,65.841,1398.127
False,21,2025-10-21 16:15:10.529,0.01253114,4.98,32.78,65.963,1464.09
False,22,2025-10-21 16:16:16.297,0.01429674,4.9,35.42,65.768,1529.858
False,23,2025-10-21 16:17:22.061,0.01214546,6.41,32.67,65.764,1595.6219999999998
False,24,2025-10-21 16:18:28.021,0.01332967,7.79,33.37,65.96,1661.5819999999999
False,25,2025-10-21 16:19:33.905,0.0157787,4.72,37.83,65.884,1727.466
False,26,2025-10-21 16:20:39.765,0.01113018,5.0,31.14,65.86,1793.3259999999998
False,27,2025-10-21 16:21:45.623,0.01260045,7.48,33.2,65.858,1859.1839999999997
False,28,2025-10-21 16:22:51.416,0.01068133,6.08,30.53,65.793,1924.9769999999999
False,29,2025-10-21 16:23:57.369,0.00897481,4.57,28.03,65.953,1990.9299999999998
False,30,2025-10-21 16:25:03.269,0.0099711,4.75,29.46,65.9,2056.83
False,31,2025-10-21 16:26:09.020,0.0103248,4.37,29.83,65.751,2122.581
False,32,2025-10-21 16:27:14.835,0.01083893,4.83,30.96,65.815,2188.396
False,33,2025-10-21 16:28:20.674,0.01093452,4.63,30.73,65.839,2254.235
False,34,2025-10-21 16:29:26.304,0.00854648,4.71,27.23,65.63,2319.8650000000002
False,35,2025-10-21 16:30:32.200,0.0085798,4.24,27.45,65.896,2385.7610000000004
